Designator,Mid X,Mid Y,Rotation,Layer
C1,134.39,-91.07,180,top
C10,150.46,-60.12,90,top
C2,134.39,-92.59,180,top
C3,145.6475,-108.1876,180,top
C4,145.18,-105.925,-90,top
C5,143.59,-98.735,90,top
C6,145.86,-97.99,180,top
C7,150.21,-69.4,90,top
C8,137.84,-90.8,0,top
C9,145.47,-61.59,180,top
D1,145.8725,-109.6776,0,top
D3,153.94,-104.3025,-90,top
D4,155.6775,-104.3025,-90,top
F1,146.11,-103.42,180,top
FB1,146.69,-105.92,90,top
J1,149.08,-113.875,0,top
J2,161.66,-74.475,90,top
J3,161.66,-90.2,90,top
J4,161.66,-82.34,90,top
R1,147.65,-109.44,90,top
R10,148.2,-69.83,180,top
R11,145.91,-69.83,180,top
R12,153.36,-82.82,90,top
R13,153.36,-80.53,90,top
R2,151.64,-109.91,0,top
R3,143.85,-101.2,-90,top
R4,151.66,-69.84,180,top
R5,136.4,-91.27,90,top
R6,153.94,-101.245,90,top
R7,155.675,-101.24,90,top
R8,145.91,-60.14,-90,top
R9,150.93,-61.56,0,top
SW1,135.636,-99.822,180,top
SW2,138.98,-94.69,180,top
U1,149.5525,-108.875,-90,top
U2,141.98,-80.4,90,top
U3,146.4325,-100.71,0,top
U4,148.19,-60.96,-90,top
